"Date","Dernier","Ouv."," Plus Haut","Plus Bas","Vol.","Variation %"
"27/04/2026","14.936,03","14.915,44","14.951,40","14.894,71","","0,11%"
"24/04/2026","14.918,88","14.843,84","14.931,53","14.822,13","","0,44%"
"23/04/2026","14.853,89","14.898,59","14.915,21","14.740,93","","-0,35%"
"22/04/2026","14.905,79","14.812,95","14.908,71","14.799,80","","0,59%"
"21/04/2026","14.818,29","14.925,12","14.956,65","14.789,03","","-0,70%"
"20/04/2026","14.923,40","14.944,31","14.957,96","14.874,70","","-0,31%"
"17/04/2026","14.969,18","14.789,55","14.997,17","14.774,68","","1,20%"
"16/04/2026","14.792,40","14.774,64","14.815,76","14.748,08","","0,17%"
"15/04/2026","14.766,82","14.688,36","14.773,14","14.675,07","","0,54%"
"14/04/2026","14.688,19","14.516,10","14.688,19","14.514,07","","1,33%"
"13/04/2026","14.495,06","14.374,42","14.508,63","14.326,42","","0,67%"
"10/04/2026","14.398,75","14.388,81","14.454,56","14.380,08","","0,09%"
"09/04/2026","14.385,81","14.333,38","14.414,69","14.281,69","","0,28%"
"08/04/2026","14.345,41","13.972,94","14.365,69","13.972,94","","3,02%"
"07/04/2026","13.924,86","13.934,76","13.960,49","13.791,17","","-0,03%"
"06/04/2026","13.929,64","13.873,57","13.936,05","13.873,57","","0,32%"
"03/04/2026","13.885,85","13.879,84","13.888,15","13.877,20","","0,06%"
"02/04/2026","13.877,88","13.899,43","13.908,77","13.672,90","","-0,18%"
"01/04/2026","13.903,18","13.721,07","13.958,52","13.720,28","","1,50%"
"31/03/2026","13.698,19","13.386,12","13.723,32","13.371,11","","2,28%"
"30/03/2026","13.392,92","13.430,33","13.520,99","13.347,52","","-0,27%"
"29/03/2026","13.428,57","13.430,33","13.431,04","13.427,22","","-0,10%"
"27/03/2026","13.441,58","13.631,59","13.638,62","13.417,48","","-1,42%"
"26/03/2026","13.634,61","13.851,27","13.857,36","13.622,96","","-1,58%"
"25/03/2026","13.853,89","13.749,45","13.923,74","13.746,67","","0,85%"
"24/03/2026","13.736,65","13.764,09","13.804,59","13.659,03","","-0,11%"
"23/03/2026","13.752,22","13.637,44","13.909,07","13.534,46","","0,82%"
"22/03/2026","13.640,57","13.637,44","13.641,20","13.637,44","","0,00%"
"20/03/2026","13.640,28","13.857,49","13.876,87","13.588,74","","-1,46%"
"19/03/2026","13.842,19","13.931,38","13.935,16","13.751,08","","-0,79%"
"18/03/2026","13.951,73","14.107,15","14.143,55","13.935,18","","-1,04%"
"17/03/2026","14.098,97","14.046,39","14.170,60","14.038,32","","0,41%"
"16/03/2026","14.041,38","13.909,74","14.095,52","13.901,36","","0,94%"
"15/03/2026","13.911,13","13.909,74","13.911,48","13.908,60","","-0,01%"
"13/03/2026","13.912,07","14.014,46","14.114,20","13.894,30","","-0,75%"
"12/03/2026","14.017,54","14.211,86","14.212,06","14.010,94","","-1,41%"
"11/03/2026","14.218,15","14.244,19","14.291,14","14.166,05","","-0,27%"
"10/03/2026","14.256,01","14.200,69","14.359,47","14.198,71","","0,47%"
"09/03/2026","14.189,03","14.130,20","14.216,83","13.898,81","","0,41%"
"08/03/2026","14.131,33","14.136,92","14.136,92","14.130,14","","-0,16%"
"06/03/2026","14.153,80","14.314,65","14.340,98","14.091,90","","-1,14%"
"05/03/2026","14.316,84","14.414,22","14.450,25","14.218,66","","-0,64%"
"04/03/2026","14.408,96","14.318,66","14.433,56","14.269,11","","0,69%"
"03/03/2026","14.310,33","14.559,50","14.562,92","14.117,74","","-1,67%"
"02/03/2026","14.552,91","14.618,18","14.622,88","14.417,14","","-0,41%"
"01/03/2026","14.612,99","14.618,18","14.622,88","14.612,71","","-0,12%"
"27/02/2026","14.630,05","14.656,19","14.686,25","14.552,16","","-0,19%"
"26/02/2026","14.658,29","14.702,74","14.724,33","14.567,77","","-0,26%"
"25/02/2026","14.697,12","14.578,22","14.708,58","14.578,22","","0,83%"
"24/02/2026","14.575,62","14.498,42","14.592,33","14.454,52","","0,51%"
"23/02/2026","14.501,02","14.623,22","14.636,91","14.468,87","","-0,92%"
"22/02/2026","14.635,64","14.623,22","14.635,80","14.622,69","","0,09%"
"20/02/2026","14.622,05","14.537,15","14.634,13","14.494,77","","0,59%"
"19/02/2026","14.535,73","14.564,77","14.580,42","14.488,11","","-0,27%"
"18/02/2026","14.575,42","14.485,00","14.617,47","14.483,57","","0,75%"
"17/02/2026","14.467,04","14.466,57","14.516,23","14.346,42","","0,01%"
"16/02/2026","14.466,19","14.480,77","14.480,77","14.464,20","","-0,09%"
"15/02/2026","14.478,54","14.480,77","14.480,77","14.477,40","","0,05%"
"13/02/2026","14.471,28","14.481,51","14.546,38","14.393,18","","-0,12%"
"12/02/2026","14.489,27","14.668,39","14.734,91","14.469,20","","-1,16%"
"11/02/2026","14.658,98","14.657,38","14.749,46","14.609,66","","-0,03%"
"10/02/2026","14.663,80","14.667,39","14.730,05","14.651,42","","0,00%"
"09/02/2026","14.664,29","14.526,22","14.687,02","14.524,39","","0,92%"
"08/02/2026","14.530,33","14.526,22","14.530,86","14.524,39","","0,01%"
"06/02/2026","14.529,42","14.272,65","14.545,33","14.263,48","","1,73%"
"05/02/2026","14.282,49","14.451,86","14.457,72","14.245,24","","-1,18%"
"04/02/2026","14.452,50","14.510,03","14.553,53","14.379,08","","-0,40%"
"03/02/2026","14.510,21","14.570,51","14.621,28","14.418,04","","-0,34%"
"02/02/2026","14.559,34","14.502,61","14.587,93","14.474,77","","0,40%"
"01/02/2026","14.501,93","14.502,61","14.505,12","14.497,35","","-0,15%"
"30/01/2026","14.523,66","14.597,16","14.609,97","14.443,08","","-0,41%"
"29/01/2026","14.583,07","14.607,84","14.653,71","14.432,84","","-0,14%"
"28/01/2026","14.603,68","14.645,18","14.658,10","14.569,72","","-0,17%"
"27/01/2026","14.629,17","14.538,14","14.667,38","14.532,46","","0,58%"
"26/01/2026","14.544,95","14.500,49","14.563,47","14.471,50","","0,37%"
"25/01/2026","14.491,18","14.500,49","14.502,29","14.489,30","","0,28%"
"23/01/2026","14.450,78","14.439,18","14.485,44","14.408,77","","0,12%"
"22/01/2026","14.433,69","14.332,99","14.468,56","14.329,43","","0,68%"
"21/01/2026","14.335,90","14.225,31","14.384,85","14.205,91","","0,71%"
"20/01/2026","14.235,13","14.462,70","14.464,27","14.220,16","","-1,58%"
"19/01/2026","14.463,22","14.479,49","14.491,99","14.454,48","","-0,19%"
"18/01/2026","14.491,29","14.479,49","14.491,99","14.479,49","","0,07%"
"16/01/2026","14.481,71","14.486,97","14.521,66","14.448,31","","-0,06%"
"15/01/2026","14.490,38","14.454,82","14.545,48","14.454,24","","0,21%"
"14/01/2026","14.460,20","14.489,78","14.513,50","14.393,05","","-0,22%"
"13/01/2026","14.492,80","14.505,00","14.533,39","14.452,62","","-0,07%"
"12/01/2026","14.503,26","14.462,49","14.512,56","14.435,95","","0,29%"
"11/01/2026","14.461,57","14.462,49","14.462,74","14.460,92","","-0,03%"
"09/01/2026","14.466,01","14.380,79","14.482,18","14.377,01","","0,60%"
"08/01/2026","14.379,85","14.395,03","14.395,03","14.340,54","","-0,13%"
"07/01/2026","14.398,80","14.449,98","14.466,11","14.392,29","","-0,36%"
"06/01/2026","14.451,28","14.365,07","14.455,94","14.365,07","","0,65%"
"05/01/2026","14.358,53","14.243,98","14.390,30","14.240,83","","0,82%"
"04/01/2026","14.241,24","14.243,98","14.245,14","14.240,83","","-0,09%"
"02/01/2026","14.253,60","14.207,16","14.301,94","14.189,38","","0,33%"
"01/01/2026","14.206,38","14.206,32","14.207,13","14.206,32","","0,00%"
"31/12/2025","14.205,75","14.292,00","14.292,17","14.205,75","","-0,62%"
"30/12/2025","14.294,12","14.303,71","14.325,61","14.287,81","","-0,06%"
"29/12/2025","14.303,30","14.338,24","14.344,31","14.274,91","","-0,25%"
"28/12/2025","14.338,74","14.338,24","14.340,32","14.337,97","","-0,01%"
"26/12/2025","14.340,40","14.344,00","14.364,10","14.325,59","","-0,03%"
"25/12/2025","14.344,07","14.344,65","14.345,67","14.341,54","","0,01%"
"24/12/2025","14.342,81","14.316,21","14.351,27","14.303,55","","0,23%"
"23/12/2025","14.309,99","14.242,15","14.315,98","14.242,15","","0,48%"
"22/12/2025","14.241,55","14.150,36","14.247,91","14.148,64","","0,65%"
"21/12/2025","14.149,93","14.150,36","14.150,90","14.148,64","","0,01%"
"19/12/2025","14.148,63","14.047,22","14.164,06","14.038,67","","0,72%"
"18/12/2025","14.047,83","13.945,89","14.113,86","13.936,69","","0,70%"
"17/12/2025","13.950,31","14.077,12","14.095,35","13.943,80","","-0,93%"
"16/12/2025","14.080,74","14.129,05","14.129,99","14.019,28","","-0,36%"
"15/12/2025","14.131,15","14.127,82","14.203,36","14.108,19","","0,03%"
"14/12/2025","14.126,78","14.127,82","14.128,39","14.126,58","","0,00%"
"12/12/2025","14.127,32","14.238,54","14.270,76","14.085,12","","-0,82%"
"11/12/2025","14.243,75","14.197,93","14.243,75","14.133,90","","0,44%"
"10/12/2025","14.180,86","14.104,49","14.219,43","14.081,21","","0,56%"
"09/12/2025","14.101,82","14.119,09","14.144,45","14.097,60","","-0,11%"
"08/12/2025","14.117,34","14.160,32","14.175,14","14.091,17","","-0,29%"
"07/12/2025","14.158,77","14.160,32","14.160,54","14.158,43","","-0,01%"
"05/12/2025","14.160,30","14.147,87","14.211,46","14.134,96","","0,01%"
"04/12/2025","14.158,59","14.109,90","14.163,45","14.105,92","","0,37%"
"03/12/2025","14.106,69","14.057,03","14.126,83","14.043,20","","0,38%"
"02/12/2025","14.052,80","14.022,19","14.090,68","14.018,37","","0,17%"
"01/12/2025","14.028,48","14.091,58","14.091,58","14.007,19","","-0,44%"
"30/11/2025","14.090,42","14.088,44","14.091,11","14.088,20","","-0,01%"
"28/11/2025","14.091,84","14.016,76","14.091,84","14.010,05","","0,53%"
"27/11/2025","14.017,36","14.010,75","14.022,55","14.006,51","","0,07%"
"26/11/2025","14.008,08","13.890,76","14.039,11","13.888,48","","0,88%"
"25/11/2025","13.886,01","13.763,95","13.901,32","13.708,92","","0,90%"
"24/11/2025","13.762,64","13.596,82","13.777,68","13.592,65","","1,23%"
"23/11/2025","13.595,17","13.596,82","13.597,00","13.594,58","","0,04%"
"21/11/2025","13.590,31","13.502,66","13.680,05","13.459,98","","0,61%"
"20/11/2025","13.508,25","13.653,57","13.883,59","13.498,57","","-1,09%"
"19/11/2025","13.657,16","13.640,17","13.745,98","13.590,96","","0,15%"
"18/11/2025","13.636,21","13.783,62","13.784,15","13.560,84","","-1,11%"
"17/11/2025","13.788,63","13.910,71","13.920,54","13.732,08","","-0,87%"
"16/11/2025","13.909,66","13.910,71","13.911,79","13.908,80","","0,00%"
"14/11/2025","13.910,14","13.944,63","13.970,38","13.763,06","","-0,31%"
"13/11/2025","13.952,76","14.135,08","14.156,54","13.930,61","","-1,30%"
"12/11/2025","14.136,07","14.098,31","14.156,08","14.097,78","","0,25%"
"11/11/2025","14.101,31","14.042,47","14.112,19","14.038,29","","0,45%"
"10/11/2025","14.037,88","13.842,34","14.056,45","13.839,41","","1,43%"
"09/11/2025","13.839,51","13.842,34","13.842,63","13.839,41","","-0,04%"
"07/11/2025","13.845,61","13.841,78","13.847,13","13.692,53","","0,04%"
"06/11/2025","13.840,59","13.950,51","13.976,76","13.821,91","","-0,75%"
"05/11/2025","13.945,24","13.910,83","13.999,19","13.884,29","","0,22%"
"04/11/2025","13.915,14","14.063,16","14.066,34","13.900,24","","-1,08%"
"03/11/2025","14.066,93","14.048,85","14.104,93","14.012,22","","0,14%"
"02/11/2025","14.046,95","14.048,85","14.050,50","14.046,66","","-0,04%"
"31/10/2025","14.052,15","14.024,18","14.094,78","14.004,82","","0,21%"
"30/10/2025","14.022,56","14.142,31","14.153,05","14.020,34","","-0,98%"
"29/10/2025","14.161,08","14.162,59","14.204,67","14.082,37","","-0,03%"
"28/10/2025","14.164,97","14.146,04","14.196,81","14.131,89","","0,17%"
"27/10/2025","14.141,13","13.998,48","14.146,98","13.998,48","","1,06%"
"26/10/2025","13.993,10","13.992,49","13.994,03","13.991,48","","0,03%"
"24/10/2025","13.989,16","13.901,47","14.014,43","13.893,98","","0,64%"
"23/10/2025","13.900,18","13.832,36","13.917,91","13.820,07","","0,48%"
"22/10/2025","13.833,85","13.891,11","13.900,82","13.768,28","","-0,43%"
"21/10/2025","13.893,28","13.904,75","13.919,40","13.867,75","","-0,10%"
"20/10/2025","13.906,88","13.748,26","13.916,62","13.747,24","","1,16%"
"19/10/2025","13.747,46","13.748,26","13.748,87","13.747,24","","-0,01%"
"17/10/2025","13.748,65","13.736,77","13.773,34","13.659,77","","0,10%"
"16/10/2025","13.734,69","13.775,93","13.853,66","13.686,27","","-0,23%"
"15/10/2025","13.766,93","13.692,51","13.852,24","13.685,12","","0,58%"
"14/10/2025","13.687,91","13.715,68","13.747,08","13.538,74","","-0,19%"
"13/10/2025","13.713,50","13.564,08","13.735,94","13.556,19","","1,12%"
"12/10/2025","13.562,07","13.564,08","13.566,05","13.562,07","","0,02%"
"10/10/2025","13.559,61","13.873,27","13.906,52","13.559,61","","-2,30%"
"09/10/2025","13.878,66","13.925,86","13.939,93","13.843,57","","-0,33%"
"08/10/2025","13.924,32","13.853,98","13.924,74","13.839,73","","0,48%"
"07/10/2025","13.858,09","13.922,32","13.933,18","13.837,41","","-0,47%"
"06/10/2025","13.923,13","13.860,85","13.937,34","13.858,08","","0,46%"
"05/10/2025","13.858,75","13.860,85","13.861,13","13.858,08","","-0,12%"
"03/10/2025","13.875,85","13.847,02","13.929,70","13.847,02","","0,23%"
"02/10/2025","13.843,77","13.825,42","13.877,93","13.801,88","","0,11%"
"01/10/2025","13.828,04","13.767,33","13.837,11","13.748,94","","0,38%"
"30/09/2025","13.776,27","13.718,98","13.776,77","13.697,13","","0,43%"
"29/09/2025","13.716,85","13.675,08","13.743,73","13.673,46","","0,30%"
"28/09/2025","13.676,46","13.675,08","13.676,97","13.675,08","","0,03%"
"26/09/2025","13.671,98","13.591,12","13.680,07","13.588,67","","0,57%"
"25/09/2025","13.594,96","13.678,93","13.680,57","13.536,60","","-0,58%"
"24/09/2025","13.674,73","13.731,46","13.731,46","13.651,35","","-0,38%"
"23/09/2025","13.726,81","13.781,88","13.801,09","13.713,45","","-0,36%"
"22/09/2025","13.776,57","13.723,55","13.789,11","13.705,15","","0,36%"
"19/09/2025","13.726,75","13.686,38","13.735,70","13.667,40","","0,34%"
"18/09/2025","13.680,21","13.625,83","13.720,30","13.612,26","","0,34%"
"17/09/2025","13.633,75","13.648,25","13.680,79","13.551,43","","-0,11%"
"16/09/2025","13.649,27","13.664,57","13.680,50","13.634,69","","-0,08%"
"15/09/2025","13.659,93","13.591,77","13.666,57","13.589,68","","0,50%"
"12/09/2025","13.592,27","13.606,40","13.620,16","13.587,18","","-0,06%"
"11/09/2025","13.600,21","13.491,31","13.610,53","13.487,60","","0,75%"
"10/09/2025","13.499,16","13.457,91","13.541,27","13.456,79","","0,25%"
"09/09/2025","13.465,05","13.446,62","13.465,05","13.416,17","","0,21%"
"08/09/2025","13.436,90","13.386,25","13.458,10","13.384,56","","0,32%"
"05/09/2025","13.394,36","13.398,89","13.481,60","13.330,27","","0,06%"
"04/09/2025","13.386,42","13.292,86","13.391,81","13.292,86","","0,74%"
"03/09/2025","13.288,51","13.228,86","13.300,63","13.210,20","","0,38%"
"02/09/2025","13.238,55","13.348,31","13.348,90","13.151,41","","-0,80%"
"01/09/2025","13.345,84","13.339,19","13.355,02","13.334,12","","-0,01%"
"29/08/2025","13.347,22","13.417,62","13.417,62","13.319,46","","-0,53%"
"28/08/2025","13.417,69","13.368,82","13.429,29","13.365,67","","0,46%"
"27/08/2025","13.355,74","13.342,21","13.376,38","13.318,42","","0,09%"
"26/08/2025","13.344,12","13.316,17","13.346,69","13.283,43","","0,08%"
"25/08/2025","13.333,62","13.394,64","13.395,51","13.315,72","","-0,44%"
"22/08/2025","13.393,04","13.199,23","13.415,58","13.190,83","","1,47%"
"21/08/2025","13.198,73","13.247,35","13.247,35","13.170,46","","-0,39%"
"20/08/2025","13.250,98","13.265,11","13.272,97","13.167,30","","-0,14%"
"19/08/2025","13.270,02","13.321,08","13.343,35","13.251,25","","-0,37%"
"18/08/2025","13.319,42","13.327,57","13.332,87","13.299,55","","-0,09%"
"15/08/2025","13.331,11","13.327,98","13.364,46","13.318,65","","0,03%"
"14/08/2025","13.327,70","13.334,78","13.338,49","13.281,78","","-0,07%"
"13/08/2025","13.337,53","13.279,57","13.353,96","13.276,89","","0,52%"
"12/08/2025","13.268,64","13.135,39","13.275,13","13.135,39","","1,06%"
"11/08/2025","13.129,83","13.169,08","13.184,73","13.118,49","","-0,29%"
"08/08/2025","13.168,08","13.096,54","13.179,03","13.091,81","","0,67%"
"07/08/2025","13.080,26","13.070,31","13.169,41","13.035,21","","0,13%"
"06/08/2025","13.063,68","12.970,51","13.080,95","12.970,51","","0,74%"
"05/08/2025","12.968,03","13.006,77","13.046,10","12.946,44","","-0,23%"
"04/08/2025","12.997,82","12.844,08","12.999,78","12.823,90","","1,25%"
"01/08/2025","12.837,92","13.000,66","13.008,29","12.796,01","","-1,31%"
"31/07/2025","13.007,90","13.059,20","13.131,30","12.986,50","","-0,47%"
"30/07/2025","13.069,50","13.098,17","13.127,71","13.017,36","","-0,17%"
"29/07/2025","13.092,29","13.129,78","13.163,67","13.085,41","","-0,40%"
"28/07/2025","13.144,33","13.175,78","13.184,73","13.114,18","","-0,20%"
"25/07/2025","13.170,83","13.150,86","13.184,35","13.116,96","","0,08%"
"24/07/2025","13.160,18","13.143,66","13.184,17","13.142,85","","0,22%"
"23/07/2025","13.131,05","13.011,00","13.140,00","13.009,92","","0,99%"
"22/07/2025","13.002,48","12.994,78","13.017,96","12.947,10","","0,07%"
"21/07/2025","12.993,24","12.967,51","13.044,92","12.962,65","","0,16%"
"18/07/2025","12.972,16","12.965,34","13.003,51","12.949,28","","0,13%"
"17/07/2025","12.955,24","12.886,84","12.966,41","12.877,32","","0,61%"
"16/07/2025","12.876,26","12.859,05","12.893,94","12.806,26","","0,11%"
"15/07/2025","12.861,65","12.923,43","12.976,55","12.857,13","","-0,50%"
"14/07/2025","12.925,81","12.907,72","12.928,72","12.874,55","","0,12%"
"11/07/2025","12.910,91","12.976,49","12.978,76","12.884,79","","-0,42%"
"10/07/2025","12.965,52","12.943,35","12.985,36","12.915,58","","0,21%"
"09/07/2025","12.938,66","12.865,54","12.944,94","12.856,66","","0,64%"
"08/07/2025","12.856,03","12.867,78","12.886,04","12.842,03","","-0,13%"
"07/07/2025","12.872,25","12.956,38","12.958,73","12.818,71","","-0,65%"
"04/07/2025","12.956,02","12.970,61","12.971,08","12.948,41","","-0,04%"
"03/07/2025","12.961,05","12.885,85","12.967,68","12.866,88","","0,67%"
"02/07/2025","12.874,56","12.832,80","12.885,43","12.810,19","","0,37%"
"01/07/2025","12.827,34","12.854,97","12.857,31","12.793,57","","-0,12%"
"30/06/2025","12.842,58","12.794,33","12.866,54","12.785,01","","0,44%"
"27/06/2025","12.786,11","12.707,81","12.812,19","12.707,79","","0,63%"
"26/06/2025","12.706,36","12.611,46","12.714,27","12.609,84","","0,87%"
"25/06/2025","12.596,33","12.619,37","12.628,24","12.586,17","","-0,19%"
"24/06/2025","12.620,89","12.477,00","12.634,81","12.477,00","","1,33%"
"23/06/2025","12.454,99","12.370,63","12.470,59","12.329,88","","0,63%"
"20/06/2025","12.377,60","12.405,38","12.463,22","12.359,09","","-0,14%"
"19/06/2025","12.394,48","12.425,80","12.425,80","12.392,55","","-0,31%"
"18/06/2025","12.433,34","12.423,91","12.492,83","12.412,96","","-0,06%"
"17/06/2025","12.440,57","12.538,36","12.544,20","12.418,42","","-0,87%"
"16/06/2025","12.549,39","12.436,42","12.584,69","12.433,45","","0,91%"
"13/06/2025","12.436,19","12.581,94","12.582,15","12.416,86","","-1,10%"
"12/06/2025","12.574,15","12.532,41","12.577,30","12.513,10","","0,39%"
"11/06/2025","12.525,55","12.546,40","12.585,56","12.500,82","","-0,14%"
"10/06/2025","12.543,21","12.496,57","12.545,15","12.485,52","","0,40%"
"09/06/2025","12.492,62","12.486,13","12.521,04","12.468,82","","0,12%"
"06/06/2025","12.477,71","12.396,19","12.503,45","12.381,21","","0,65%"
"05/06/2025","12.397,08","12.436,19","12.483,02","12.366,57","","-0,36%"
"04/06/2025","12.441,74","12.412,38","12.472,12","12.407,53","","0,25%"
"03/06/2025","12.411,31","12.373,12","12.425,48","12.334,79","","0,34%"
"02/06/2025","12.369,27","12.310,33","12.370,80","12.239,77","","0,47%"
"30/05/2025","12.311,31","12.309,05","12.327,46","12.208,16","","0,04%"
"29/05/2025","12.306,93","12.238,73","12.359,87","12.238,00","","0,44%"
"28/05/2025","12.252,92","12.331,39","12.334,15","12.240,93","","-0,60%"
"27/05/2025","12.326,70","12.150,67","12.329,28","12.144,90","","1,45%"
"26/05/2025","12.150,06","12.119,86","12.152,96","12.119,23","","0,30%"
"23/05/2025","12.113,87","12.166,37","12.193,57","12.050,06","","-0,41%"
"22/05/2025","12.164,31","12.190,92","12.217,04","12.131,79","","-0,28%"
"21/05/2025","12.198,58","12.337,46","12.350,01","12.176,08","","-1,03%"
"20/05/2025","12.326,08","12.337,80","12.354,97","12.283,59","","-0,10%"
"19/05/2025","12.338,85","12.309,82","12.340,12","12.224,61","","0,31%"
"16/05/2025","12.300,53","12.237,97","12.301,63","12.219,22","","0,56%"
"15/05/2025","12.231,75","12.180,00","12.242,33","12.145,59","","0,33%"
"14/05/2025","12.191,91","12.174,69","12.214,41","12.153,80","","0,21%"
"13/05/2025","12.166,67","12.073,14","12.204,88","12.072,81","","0,78%"
"12/05/2025","12.072,36","11.802,59","12.072,36","11.773,01","","2,23%"
"09/05/2025","11.809,50","11.784,66","11.858,56","11.783,98","","0,12%"
"08/05/2025","11.795,39","11.744,81","11.868,11","11.735,26","","0,29%"
"07/05/2025","11.760,84","11.727,94","11.773,57","11.679,70","","0,28%"
"06/05/2025","11.727,45","11.786,52","11.796,57","11.693,22","","-0,54%"
"05/05/2025","11.791,39","11.831,24","11.846,89","11.770,38","","-0,45%"
"02/05/2025","11.844,18","11.653,49","11.849,30","11.652,53","","1,67%"
"01/05/2025","11.649,65","11.614,81","11.734,97","11.604,89","","0,23%"
"30/04/2025","11.623,31","11.602,13","11.635,11","11.393,95","","0,24%"
"29/04/2025","11.595,94","11.544,83","11.614,18","11.516,29","","0,52%"
"28/04/2025","11.535,60","11.505,08","11.572,62","11.455,18","","0,28%"
"25/04/2025","11.503,33","11.433,25","11.508,75","11.399,49","","0,63%"
"24/04/2025","11.431,43","11.240,52","11.439,29","11.238,97","","1,66%"
"23/04/2025","11.245,18","11.058,53","11.394,13","11.058,53","","1,43%"
"22/04/2025","11.086,11","10.878,56","11.112,56","10.867,29","","1,89%"
"21/04/2025","10.880,97","11.062,25","11.083,00","10.796,73","","-1,48%"
"18/04/2025","11.044,88","11.044,74","11.049,81","11.042,98","","0,06%"
"17/04/2025","11.038,54","11.023,88","11.107,97","10.999,17","","0,17%"
"16/04/2025","11.020,28","11.183,32","11.195,93","10.943,02","","-1,54%"
"15/04/2025","11.192,76","11.165,81","11.263,41","11.162,79","","0,26%"
"14/04/2025","11.164,11","11.037,31","11.244,01","11.037,31","","1,24%"
"11/04/2025","11.027,75","10.885,21","11.049,15","10.812,59","","1,45%"
"10/04/2025","10.870,07","10.994,30","11.181,25","10.644,63","","-1,22%"
"09/04/2025","11.003,80","10.344,76","11.019,48","10.217,32","","6,47%"
"08/04/2025","10.335,09","10.375,39","10.791,62","10.235,33","","-0,39%"
"07/04/2025","10.375,24","10.557,50","10.738,39","10.021,66","","-1,78%"
"04/04/2025","10.563,25","11.204,74","11.204,74","10.545,41","","-5,83%"
"03/04/2025","11.217,76","11.652,90","11.664,91","11.189,84","","-3,70%"
"02/04/2025","11.648,40","11.584,80","11.680,57","11.474,21","","0,52%"
"01/04/2025","11.587,61","11.529,15","11.609,63","11.456,58","","0,58%"
"31/03/2025","11.520,92","11.539,33","11.544,52","11.328,39","","-0,16%"
"28/03/2025","11.539,10","11.726,68","11.728,22","11.527,09","","-1,61%"
"27/03/2025","11.727,33","11.760,75","11.789,60","11.688,35","","-0,33%"
"26/03/2025","11.766,57","11.884,44","11.892,82","11.735,19","","-1,00%"
"25/03/2025","11.885,71","11.851,68","11.905,30","11.849,87","","0,30%"
"24/03/2025","11.850,14","11.703,71","11.860,42","11.693,99","","1,24%"
"21/03/2025","11.704,42","11.717,36","11.721,92","11.604,04","","-0,09%"
"20/03/2025","11.715,21","11.754,36","11.784,07","11.661,71","","-0,22%"
"19/03/2025","11.740,76","11.651,30","11.811,95","11.637,28","","0,80%"
"18/03/2025","11.647,64","11.722,65","11.751,92","11.615,30","","-0,66%"
"17/03/2025","11.725,50","11.627,85","11.766,66","11.627,72","","0,86%"
"14/03/2025","11.625,05","11.413,18","11.635,66","11.408,82","","1,85%"
"13/03/2025","11.414,26","11.549,24","11.556,70","11.388,72","","-1,18%"
"12/03/2025","11.550,83","11.482,06","11.611,57","11.454,63","","0,55%"
"11/03/2025","11.487,57","11.574,83","11.584,34","11.423,28","","-0,77%"
"10/03/2025","11.576,31","11.854,33","11.861,06","11.495,89","","-2,37%"
"07/03/2025","11.856,83","11.816,50","11.867,66","11.691,54","","0,26%"
"06/03/2025","11.825,98","11.980,02","12.000,72","11.785,08","","-1,22%"
"05/03/2025","11.971,48","11.815,76","12.002,07","11.807,48","","1,43%"
"04/03/2025","11.803,18","11.945,23","11.948,16","11.720,17","","-1,21%"
"03/03/2025","11.947,47","12.056,18","12.165,84","11.887,34","","-0,91%"
"28/02/2025","12.057,74","11.925,75","12.059,95","11.875,74","","1,02%"
"27/02/2025","11.936,58","12.105,02","12.134,80","11.932,64","","-1,40%"
"26/02/2025","12.105,99","12.086,50","12.186,93","12.069,54","","0,18%"
"25/02/2025","12.084,45","12.125,21","12.150,14","12.012,32","","-0,36%"
"24/02/2025","12.128,06","12.177,79","12.216,13","12.104,93","","-0,39%"
"21/02/2025","12.174,97","12.339,69","12.347,65","12.169,95","","-1,30%"
"20/02/2025","12.334,80","12.373,26","12.380,91","12.278,06","","-0,32%"
"19/02/2025","12.374,71","12.380,47","12.383,34","12.325,40","","-0,09%"
"18/02/2025","12.386,46","12.358,92","12.386,46","12.336,43","","0,23%"
"17/02/2025","12.358,30","12.343,09","12.359,85","12.339,71","","0,08%"
"14/02/2025","12.347,83","12.339,95","12.367,97","12.334,36","","0,14%"
"13/02/2025","12.331,02","12.187,44","12.342,48","12.186,58","","1,20%"
"12/02/2025","12.184,62","12.210,15","12.215,84","12.102,60","","-0,17%"
"11/02/2025","12.205,38","12.198,91","12.224,43","12.168,14","","0,02%"
"10/02/2025","12.202,50","12.124,26","12.209,72","12.119,30","","0,56%"
"07/02/2025","12.134,18","12.235,77","12.261,58","12.124,63","","-0,80%"
"06/02/2025","12.232,56","12.178,47","12.237,37","12.176,16","","0,40%"
"05/02/2025","12.183,84","12.118,80","12.183,84","12.092,50","","0,58%"
"04/02/2025","12.113,21","12.029,86","12.124,27","12.015,61","","0,79%"
"03/02/2025","12.018,74","12.112,02","12.113,52","11.887,37","","-1,04%"
"31/01/2025","12.145,15","12.187,45","12.273,01","12.125,74","","-0,44%"
"30/01/2025","12.198,25","12.119,55","12.222,05","12.119,17","","0,66%"
"29/01/2025","12.118,75","12.145,63","12.160,59","12.073,20","","-0,20%"
"28/01/2025","12.143,42","12.059,16","12.157,14","12.038,56","","0,60%"
"27/01/2025","12.070,85","12.201,34","12.209,27","12.019,55","","-1,12%"
